,ASIN,Product Description,Manufacturer,Product Rating (out of 5)
0,ASIN : B09VTDMRY7,"Care Instructions: Wipe with Damp Cloth
Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>
USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>
Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>
Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>
Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>","Manufacturer : FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",4.0
1,ASIN : B0BYSZ3TKW,"Care Instructions: Wipe with Damp Cloth
Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.
USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.
Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.
Dimension: 45 CM (L) x 30 CM (W) x 13 CM (D). Storage Capacity: 18L. Weight: 600 Grams.
Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects","Manufacturer : FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",4.4
2,null,null,null,
3,ASIN : B08Z1HHHTD,"Care Instructions: Hand Wash Only
Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,
Water Resistance Level: Not Water Resistant
Size: 35 x 13 x 46 cms",Net Quantity : 1 Count,4.1
4,null,null,null,
5,ASIN : B09HCK9MLX,"3 Large Compartments + 1 Easy access front Pocket with organizer section & 2 mesh side pocket<br>
Outer Fabric: Durable PU coated Polyester Fabric. Inner Fabric: Strong PU coated polyester fabtic<br>
Well cushioned Laptop compartment for upto 15.6 inch Laptop, and spacious enagh to carry for two days cloths<br>
Weight: 800gm; Dimensions: 13.00x18.75x9.50 inches (WxHxD); Warranty: 1 year Warranty against manufacturing defects.<br>
Pattern Name: Solid; Compartment Description: Up To 15 Inches; Age Range Description: Adult; Lining Description: Polyurethane; Water Resistance Level: Water Resistant<br>","Manufacturer : COSMUS BAGS PVT.LTD., 359,Ground Floor Abubakar Chawl Dharavi Main Road, Bagicha Compound, Dharavi Mumbai,400017 Mobile: +91 8767008844",4.1
6,Manufacturer : The House of Tara,"Outer_Material:-Cotton Canvas; Inner_Material:-Polyester; Product:-Made in India
Dimensions:-17 inches x 13 inches x 5 inches (Height x Width x Depth)
Closure:-Zipper; Wash_Care:-Spot Clean; Volume:-18 Litres
Laptop:-Accommodates upto 15.6 inches; Pockets:-4 External
Compartments:-2; Straps:-Adjustable; Waterproof:-Yes",Department : unisex-adult,4.1
7,ASIN : B0B691HSL3,"Care Instructions: Hand Wash Only
Handcrafted with care and made up of premium quality robust material
Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage
Right sized with sturdy stitching; Dimension: (26.5 cm x 13.3 cm x 38.2); Warranty: 750 days international warranty
GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)
Roll top wide opening for easy access; Padded laptop compartment fits up to 15”, Front Access pocket & Back padding with Air mesh","Manufacturer : Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",4.2
8,Manufacturer : The House of Tara,"Care Instructions: Wipe with Damp Cloth
Material:-Canvas; Inner_Material:-Polyester; Product:-Made in India <br>
Dimensions:-17 inches x 12 inches x 5 inches (Height x Width x Depth) <br>
Closure:-Zip; Wash_Care:-Spot Clean; Volume:-16 Litres <br>
Laptop:-Accommodates upto 15.6 inches; Pockets:-3 External; Compartments:-2; Straps:-Adjustable; Waterproof:-Yes <br>
Age Range Description: Adult; Pattern Name: Solid; Closure Type: Zipper; Pocket Description: Utility Pocket <br>",Department : unisex-adult,4.1
9,Item model number : Seacon Lite Grey,"Care Instructions: Wipe with Dry Cloth
SPACIOUS AND LIGHTWEIGHT: 35L CAPACITY Light weight & spacious 3 Compartment with laptop sleeves fits upto 16 Inch laptop, Multi Pockets to keep your essentials. Organizer pockets as per needs. . It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.Made with strong yet light weight polyester fabric with heavy zippers
ERGONOMIC DESIGN: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body. Stitched properly and Bartacks on every pressure point for extra durability
1 YEAR WARRANTY: The Impulse Travel backpack comes with 1 year of warranty
WATER RESISTANT MATERIAL: The Material ensures resistance to water entering from any direction.
MADE IN INDIA – Impulse Travel Backpack is fully manufactured in India and pass through stringent quality tests and checks",Item Dimensions LxWxH : 12 x 32 x 43 Centimeters,4.0
